"index","label","fileName","relativePath","kind","width","height","brightness","saturation","edge","sizeMB"
"1","001 P-20170525_192425","20170525_192425.jpg","20170525_192425.jpg","phone-date","4032","3024","80.3","63.6","14.88","1.299"
"2","002 P-20170525_192453","20170525_192453.jpg","20170525_192453.jpg","phone-date","4032","3024","116.16","44.55","15.53","1.266"
"3","003 P-20170525_192457","20170525_192457.jpg","20170525_192457.jpg","phone-date","4032","3024","99.53","50.03","15.49","1.384"
"4","004 P-20170525_192547","20170525_192547.jpg","20170525_192547.jpg","phone-date","4032","3024","126.87","41.96","12.68","1.29"
"5","005 P-20170525_192647","20170525_192647.jpg","20170525_192647.jpg","phone-date","4032","3024","137.5","43.39","13.08","1.43"
"6","006 P-20170525_192649","20170525_192649.jpg","20170525_192649.jpg","phone-date","4032","3024","132.44","44.66","12.88","1.282"
"7","007 P-20170525_194841","20170525_194841.jpg","20170525_194841.jpg","phone-date","4032","3024","48.72","35.56","17.51","1.757"
"8","008 P-20170525_202403","20170525_202403.jpg","20170525_202403.jpg","phone-date","2592","1944","121.4","55.32","26.75","0.516"
"9","009 P-20170526_153118","20170526_153118.jpg","20170526_153118.jpg","phone-date","2592","1944","143.25","33.44","21.5","0.536"
"10","010 P-20170526_153140","20170526_153140.jpg","20170526_153140.jpg","phone-date","4032","3024","119.72","57.48","21.47","1.664"
"11","011 P-20170526_153143","20170526_153143.jpg","20170526_153143.jpg","phone-date","4032","3024","128.61","61.81","21.51","1.377"
"12","012 P-20170526_203618","20170526_203618.jpg","20170526_203618.jpg","phone-date","4032","3024","57.31","47.11","20.49","1.591"
"13","013 P-20170526_203636","20170526_203636.jpg","20170526_203636.jpg","phone-date","4032","3024","69.47","53.51","18.97","1.201"
"14","014 P-20170526_224623","20170526_224623.jpg","20170526_224623.jpg","phone-date","4032","3024","85.16","70.98","14.05","1.387"
"15","015 P-20170527_023605","20170527_023605.jpg","20170527_023605.jpg","phone-date","2592","1944","75.65","42.3","39.52","0.542"
"16","016 F-0001","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0001.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0001.jpg","full-export","2670","3600","110.05","41.94","22.09","2.281"
"17","017 F-0002","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0002.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0002.jpg","full-export","2670","3600","102.78","47.54","21.42","2.25"
"18","018 F-0003","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0003.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0003.jpg","full-export","2670","3600","98.51","45.41","21.56","2.263"
"19","019 F-0004","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0004.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0004.jpg","full-export","2670","3600","91.13","44.45","20.72","2.238"
"20","020 F-0005","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0005.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0005.jpg","full-export","2670","3600","98.03","43.06","25.37","2.416"
"21","021 F-0006","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0006.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0006.jpg","full-export","2670","3600","64.23","32.87","19.67","1.862"
"22","022 F-0007","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0007.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0007.jpg","full-export","2670","3600","96.54","33.11","26.25","2.461"
"23","023 F-0008","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0008.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0008.jpg","full-export","2670","3600","112.25","60.82","34.39","2.422"
"24","024 F-0009","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0009.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0009.jpg","full-export","3600","2670","133.4","33.43","46.81","2.734"
"25","025 F-0011","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0011.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0011.jpg","full-export","2670","3600","155.26","23.44","36.44","1.828"
"26","026 F-0012","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0012.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0012.jpg","full-export","2670","3600","147.26","20.78","37.97","1.887"
"27","027 F-0014","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0014.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0014.jpg","full-export","2670","3600","141.06","25.84","35.8","2.396"
"28","028 F-0016","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0016.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0016.jpg","full-export","3600","2937","118.65","62.28","40.58","2.398"
"29","029 F-0017","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0017.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0017.jpg","full-export","3600","2937","160.75","55.12","31.37","1.956"
"30","030 F-0018","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0018.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0018.jpg","full-export","3600","2937","130.62","70.65","38.4","2.595"
"31","031 F-0019","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0019.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0019.jpg","full-export","2937","3600","137.53","62.3","30.24","2.292"
"32","032 F-0020","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0020.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0020.jpg","full-export","2937","3600","139.67","59.45","32.26","2.48"
"33","033 F-0021","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0021.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0021.jpg","full-export","3600","2937","110.47","64.78","37.18","2.447"
"34","034 F-0022","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0022.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0022.jpg","full-export","2937","3600","130.02","79.16","24.22","2.319"
"35","035 F-0023","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0023.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0023.jpg","full-export","2937","3600","136.04","77.95","23.36","2.382"
"36","036 F-0024","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0024.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0024.jpg","full-export","2937","3600","125.82","70.18","27.39","2.529"
"37","037 F-0025","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0025.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0025.jpg","full-export","2937","3600","143.17","85.53","23.67","3.099"
"38","038 F-0026","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0026.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0026.jpg","full-export","2937","3600","94.13","43.64","33.47","2.588"
"39","039 F-0027","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0027.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0027.jpg","full-export","2937","3600","139.5","46.95","24.47","3.022"
"40","040 F-0028","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0028.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0028.jpg","full-export","3600","2937","182.15","28.14","22.94","1.973"
"41","041 F-0029","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0029.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0029.jpg","full-export","2937","3600","155.09","40.86","28.92","2.465"
"42","042 F-0030","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0030.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0030.jpg","full-export","3600","2937","140.14","57.76","29.73","2.551"
"43","043 F-0031","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0031.jpg","Sonia-Stephen-Upstate-Vintage-Theater-Indian-Wedding-Meadowlark-Stills-Lawrence-Braun-2017-Spring-0031.jpg","full-export","3600","2937","156.96","52.87","32.05","2.482"
